Experiment,Vertexes,Density,Time(mcs)
186,200,0.3,412770.99
187,200,0.3,428186.18
188,200,0.3,414198.88
189,200,0.3,412467.48
190,200,0.3,413054.7
191,200,0.3,416860.1
192,200,0.3,416205.17
193,200,0.3,420847.18
194,200,0.3,413461.92
195,200,0.3,404820.92
196,200,0.3,407495.5
197,200,0.3,422286.99
198,200,0.3,424444.44
199,200,0.3,425292.49
200,200,0.3,418190.24
201,20,0.5,413.42
202,20,0.5,396.01
203,20,0.5,471.59
204,20,0.5,417.95
205,20,0.5,416.99
206,20,0.5,457.29
207,20,0.5,433.92
208,20,0.5,497.1
209,20,0.5,420.81
210,20,0.5,507.35
211,20,0.5,451.33
212,20,0.5,655.17
213,20,0.5,681.4
214,20,0.5,571.01
215,20,0.5,482.56
216,20,0.5,456.09
217,20,0.5,490.9
218,20,0.5,477.55
219,20,0.5,478.51
220,20,0.5,487.33
221,40,0.5,3283.26
222,40,0.5,3885.75
223,40,0.5,3474.0
224,40,0.5,3384.83
225,40,0.5,3241.06
226,40,0.5,3436.57
227,40,0.5,3199.58
228,40,0.5,3225.8
229,40,0.5,3146.17
230,40,0.5,3110.17
231,40,0.5,3128.29
232,40,0.5,3452.06
233,40,0.5,3321.89
234,40,0.5,3122.09
235,40,0.5,3509.52
236,40,0.5,3113.75
237,40,0.5,3374.34
238,40,0.5,3096.1
239,40,0.5,3871.44
240,40,0.5,3356.46
241,60,0.5,11678.93
242,60,0.5,11706.11
243,60,0.5,11387.59
244,60,0.5,10547.16
245,60,0.5,10558.84
246,60,0.5,10944.37
247,60,0.5,10437.01
248,60,0.5,10384.56
249,60,0.5,11410.95
250,60,0.5,10905.74
251,60,0.5,11061.43
252,60,0.5,10443.21
253,60,0.5,10360.48
254,60,0.5,10379.08
255,60,0.5,11237.62
256,60,0.5,11358.74
257,60,0.5,11490.82
258,60,0.5,11857.99
259,60,0.5,10879.04
260,60,0.5,10884.76
261,80,0.5,27258.87
262,80,0.5,27371.41
263,80,0.5,27320.15
264,80,0.5,26378.87
265,80,0.5,28354.17
266,80,0.5,26724.82
267,80,0.5,25070.91
268,80,0.5,25366.07
269,80,0.5,26374.58
270,80,0.5,27135.13
271,80,0.5,27176.14
272,80,0.5,27503.25
273,80,0.5,26911.02
274,80,0.5,25785.92
275,80,0.5,26803.49
276,80,0.5,27890.44
277,80,0.5,27794.12
278,80,0.5,24816.27
279,80,0.5,33439.87
280,80,0.5,26559.35
281,100,0.5,53440.57
282,100,0.5,51897.53
283,100,0.5,52799.22
284,100,0.5,52134.28
285,100,0.5,55429.7
286,100,0.5,51698.45
287,100,0.5,53272.25
288,100,0.5,51772.36
289,100,0.5,51296.23
290,100,0.5,51106.21
291,100,0.5,50673.48
292,100,0.5,50975.32
293,100,0.5,53580.52
294,100,0.5,52302.6
295,100,0.5,53177.6
296,100,0.5,53381.2
297,100,0.5,51948.31
298,100,0.5,53753.14
299,100,0.5,50299.41
300,100,0.5,55530.79
301,120,0.5,90906.14
302,120,0.5,91620.21
303,120,0.5,88836.91
304,120,0.5,89819.91
305,120,0.5,101773.98
306,120,0.5,91253.04
307,120,0.5,87699.17
308,120,0.5,89017.39
309,120,0.5,91008.9
310,120,0.5,89632.99
311,120,0.5,89653.25
312,120,0.5,88710.07
313,120,0.5,88074.45
314,120,0.5,94794.03
315,120,0.5,88258.5
316,120,0.5,90311.53
317,120,0.5,84796.43
318,120,0.5,89434.39
319,120,0.5,95688.82
320,120,0.5,90406.66
321,140,0.5,143677.95
322,140,0.5,146003.96
323,140,0.5,142779.35
324,140,0.5,134555.34
325,140,0.5,144135.24
326,140,0.5,144581.32
327,140,0.5,146447.66
328,140,0.5,139855.86
329,140,0.5,146974.33
330,140,0.5,140202.05
331,140,0.5,140574.69
332,140,0.5,146022.56
333,140,0.5,139330.15
334,140,0.5,142790.08
335,140,0.5,140797.62
336,140,0.5,142551.18
337,140,0.5,144793.51
338,140,0.5,144238.95
339,140,0.5,144501.92
340,140,0.5,139017.11
341,160,0.5,213981.15
342,160,0.5,213791.37
343,160,0.5,204886.67
344,160,0.5,206559.42
345,160,0.5,209894.18
346,160,0.5,209022.28
347,160,0.5,210936.31
348,160,0.5,213934.9
349,160,0.5,207508.8
350,160,0.5,216819.05
351,160,0.5,210762.74
352,160,0.5,213400.6
353,160,0.5,211616.04
354,160,0.5,213334.32
355,160,0.5,212243.8
356,160,0.5,213321.69
357,160,0.5,217846.16
358,160,0.5,211878.78
359,160,0.5,218048.57
360,160,0.5,211050.51
361,180,0.5,307150.13
362,180,0.5,303149.7
363,180,0.5,304514.88
364,180,0.5,304457.9
365,180,0.5,300897.6
366,180,0.5,306621.07
367,180,0.5,308984.52
368,180,0.5,300279.62
369,180,0.5,310500.38
370,180,0.5,306215.76
371,180,0.5,302546.98
372,180,0.5,302904.84
373,180,0.5,311929.23
374,180,0.5,307962.89
375,180,0.5,302519.08
376,180,0.5,306615.83
377,180,0.5,307795.29
378,180,0.5,299365.76
379,180,0.5,332425.83
380,180,0.5,325721.26
381,200,0.5,408995.39
382,200,0.5,408960.1
383,200,0.5,414693.83
384,200,0.5,424818.52
385,200,0.5,411406.28
386,200,0.5,421355.25
387,200,0.5,406922.1
388,200,0.5,419155.6
389,200,0.5,420830.25
390,200,0.5,410083.53
391,200,0.5,422442.44
392,200,0.5,417055.85
